create_date_1,create_date_2,create_date_3,create_date_4,create_date_5,open_bid
30/12/2020,28/12/2020,28/12/2020,29/12/2020,29/12/2020,01/01/2021
29/12/2020,31/12/2020,01/01/2021,01/01/2021,30/12/2020,02/01/2021
31/12/2020,02/01/2021,31/12/2020,31/12/2020,31/12/2020,03/01/2021
01/01/2021,30/12/2020,02/01/2021,30/12/2020,01/01/2021,04/01/2021
04/01/2021,01/01/2021,01/01/2021,03/01/2021,31/12/2020,05/01/2021
01/01/2021,05/01/2021,02/01/2021,03/01/2021,01/01/2021,06/01/2021
03/01/2021,06/01/2021,05/01/2021,03/01/2021,03/01/2021,07/01/2021
04/01/2021,04/01/2021,05/01/2021,03/01/2021,07/01/2021,08/01/2021
08/01/2021,05/01/2021,07/01/2021,07/01/2021,06/01/2021,09/01/2021
09/01/2021,06/01/2021,05/01/2021,07/01/2021,07/01/2021,10/01/2021
06/01/2021,09/01/2021,09/01/2021,08/01/2021,07/01/2021,11/01/2021
07/01/2021,10/01/2021,09/01/2021,10/01/2021,08/01/2021,12/01/2021
08/01/2021,09/01/2021,11/01/2021,09/01/2021,09/01/2021,13/01/2021
09/01/2021,10/01/2021,10/01/2021,12/01/2021,12/01/2021,14/01/2021
13/01/2021,14/01/2021,10/01/2021,13/01/2021,13/01/2021,15/01/2021
15/01/2021,12/01/2021,12/01/2021,11/01/2021,15/01/2021,16/01/2021
13/01/2021,16/01/2021,14/01/2021,16/01/2021,12/01/2021,17/01/2021
13/01/2021,14/01/2021,17/01/2021,17/01/2021,17/01/2021,18/01/2021
15/01/2021,15/01/2021,15/01/2021,14/01/2021,17/01/2021,19/01/2021
18/01/2021,15/01/2021,17/01/2021,19/01/2021,17/01/2021,20/01/2021
18/01/2021,16/01/2021,17/01/2021,17/01/2021,19/01/2021,21/01/2021
20/01/2021,20/01/2021,19/01/2021,17/01/2021,20/01/2021,22/01/2021
19/01/2021,21/01/2021,18/01/2021,18/01/2021,18/01/2021,23/01/2021
23/01/2021,19/01/2021,22/01/2021,20/01/2021,22/01/2021,24/01/2021
21/01/2021,24/01/2021,23/01/2021,20/01/2021,21/01/2021,25/01/2021
24/01/2021,25/01/2021,25/01/2021,22/01/2021,21/01/2021,26/01/2021
23/01/2021,25/01/2021,25/01/2021,26/01/2021,24/01/2021,27/01/2021
26/01/2021,27/01/2021,26/01/2021,25/01/2021,23/01/2021,28/01/2021
26/01/2021,27/01/2021,24/01/2021,28/01/2021,25/01/2021,29/01/2021
28/01/2021,25/01/2021,28/01/2021,25/01/2021,25/01/2021,30/01/2021
28/01/2021,29/01/2021,28/01/2021,28/01/2021,26/01/2021,31/01/2021
29/01/2021,27/01/2021,29/01/2021,29/01/2021,27/01/2021,01/02/2021
30/01/2021,30/01/2021,31/01/2021,29/01/2021,01/02/2021,02/02/2021
30/01/2021,31/01/2021,30/01/2021,31/01/2021,02/02/2021,03/02/2021
01/02/2021,31/01/2021,31/01/2021,01/02/2021,03/02/2021,04/02/2021
02/02/2021,04/02/2021,31/01/2021,03/02/2021,03/02/2021,05/02/2021
04/02/2021,02/02/2021,04/02/2021,01/02/2021,01/02/2021,06/02/2021
05/02/2021,05/02/2021,05/02/2021,05/02/2021,04/02/2021,07/02/2021
05/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021
05/02/2021,08/02/2021,08/02/2021,08/02/2021,08/02/2021,09/02/2021
06/02/2021,07/02/2021,08/02/2021,05/02/2021,06/02/2021,10/02/2021
07/02/2021,09/02/2021,07/02/2021,09/02/2021,09/02/2021,11/02/2021
08/02/2021,10/02/2021,09/02/2021,07/02/2021,11/02/2021,12/02/2021
10/02/2021,12/02/2021,12/02/2021,10/02/2021,09/02/2021,13/02/2021
11/02/2021,12/02/2021,11/02/2021,12/02/2021,09/02/2021,14/02/2021
12/02/2021,12/02/2021,14/02/2021,12/02/2021,11/02/2021,15/02/2021
13/02/2021,15/02/2021,14/02/2021,15/02/2021,14/02/2021,16/02/2021
12/02/2021,15/02/2021,13/02/2021,12/02/2021,16/02/2021,17/02/2021
13/02/2021,17/02/2021,15/02/2021,17/02/2021,14/02/2021,18/02/2021
18/02/2021,16/02/2021,16/02/2021,16/02/2021,15/02/2021,19/02/2021
17/02/2021,15/02/2021,16/02/2021,19/02/2021,17/02/2021,20/02/2021
20/02/2021,19/02/2021,20/02/2021,18/02/2021,17/02/2021,21/02/2021
18/02/2021,17/02/2021,18/02/2021,19/02/2021,19/02/2021,22/02/2021
18/02/2021,22/02/2021,22/02/2021,21/02/2021,22/02/2021,23/02/2021
20/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,24/02/2021
